"name_state","area","deforestation_2021","Deforestation_ratio"
"Acre",14169983,119085,0.00840403266538852
"Alagoas",675726,1025,0.00151688702225458
"Amapá",12529518,6121,0.000488526374278723
"Amazonas",150705443,314619,0.00208764191748536
"Bahia",20892323,137099,0.00656217118603805
"Ceará",4457533,11652,0.00261400196027713
"Distrito Federal",81900,55,0.000671550671550672
"Espirito Santo",2044521,7822,0.00382583499998288
"Goiás",8502969,48390,0.00569095335993816
"Maranhão",21483831,313681,0.0146007944300065
"Mato Grosso",53033598,542790,0.0102348326432614
"Mato Grosso Do Sul",10355669,130448,0.0125967718744197
"Minas Gerais",21510266,100667,0.00467995142412465
"Paraná",8458779,75459,0.00892079105033954
"Paraíba",1155371,3661,0.00316867915154526
"Pará",105946778,707681,0.00667958963320244
"Pernambuco",1988538,5329,0.00267985826773237
"Piauí",12490921,84900,0.00679693675110106
"Rio Grande Do Norte",902068,3562,0.00394870453225256
"Rio Grande Do Sul",8662062,60715,0.00700930101862582
"Rio De Janeiro",1917776,2302,0.00120034873728736
"Rondônia",17211100,245763,0.0142793313617375
"Roraima",18015489,28380,0.00157531111145526
"Santa Catarina",6768965,54675,0.00807730576240238
"Sergipe",556243,2426,0.00436140319968072
"São Paulo",7329960,36642,0.00499893587413847
"Tocantins",11165277,97442,0.00872723533863065
